ai_method,benefits,date_added,email,organisation,origin,owning_team,scrape_date,source_note,source_url,status,tool_name,usecase
Not AI,Allows users to control cookie preferences and manage personal data usage on TfL website,,,Transport for London,tfl.gov.uk,Transport for London,,This tool allows users to manage cookie settings on the Transport for London website.,https://tfl.gov.uk/corporate/privacy-and-cookies/lost-property,live,TfL Cookie Management,Not AI
"Natural Language Processing, Machine Learning","Improve user satisfaction at work, reduce effort required to complete tasks, improve task quality, reduce time spent on routine activities",02/06/2025,,UK Government,gov.uk,Government Digital Service (GDS),,"GDS conducted large-scale experiment with Microsoft 365 Copilot, involving 20,000 gov employees across 12 organizations.",https://www.gov.uk/government/publications/microsoft-365-copilot-experiment-cross-government-findings-report,pilot,Microsoft 365 Copilot,Workflow Automation
"Machine Learning, Computer Vision","Drastically cuts cancer waiting times by automating lengthy radiotherapy preparations. Can reduce preparation time by up to 90%, allowing for faster start of potentially life-saving radiotherapy treatment. Saves clinicians many hours of time in marking up patient scans prior to radiotherapy.",09/12/2020,,Cambridge University Hospitals NHS Foundation Trust,gov.uk,Microsoft Research and Addenbrooke's Hospital,,"AI technology for cancer treatment, reducing preparation time by 90% and speeding up radiotherapy treatment.",https://www.cuh.nhs.uk/news/ai-speeds-cancer-treatment/,live,InnerEye,Health AI
"Natural Language Processing, Other","Produces customisable summaries in formats needed by public servants, potentially revolutionizing public sector work if used securely and ethically",07/04/2025,,Department for Science Innovation and Technology,Government,"Incubator for Artificial Intelligence, Government Digital Service",,West Berkshire Council news article about participation in AI pilot,https://www.westberks.gov.uk/article/44391/West-Berkshire-Council-selected-for-Government-artificial-intelligence-pilot,pilot,Minute,Document Intelligence
"Computer Vision, Machine Learning","DLCExpert gives clinics the flexibility to choose from its AI Library of structures covering: head and neck, thorax, breast and prostate. Built using deep learning technology, DLCExpert saves time while providing OAR contouring consistency and accuracy. Benefits include: Flexibility to select structure combinations to suit hospital preferences, Consistency & accuracy to immediately begin contour quality review & one source of contour consistency across regional geographical sites, Save time from manually intensive tasks to focus on the complex, Confidence that patient outcomes are at the heart and passion of our work and products.",,support@mirada-medical.com,Mirada Medical,mirada-medical.com,Mirada Medical,,"AI-powered autocontouring solution for radiation therapy planning, offering flexibility and accuracy in medical imaging.",https://www.mirada-medical.com/radiation-oncology,live,DLCExpert,Vision AI
"Natural Language Processing, Retrieval-Augmented Generation","1) Improve accessibility to trusted, up-to-date financial guidance on Leeds City Council's Money Information Centre (MIC) website 2) Enhance the user experience of the MIC website 3) Explore a solution that might be scalable across Leeds City Council websites, beyond only the MIC website",26/06/2025,MICfeedback@leeds.gov.uk,Leeds City Council,gov.uk,Financial Inclusion Team,,Information extracted from the Algorithmic Transparency Record for Leeds City Council Money Information Centre Chatbot,https://www.gov.uk/algorithmic-transparency-records/leeds-city-council-money-information-centre-chatbot,pilot,Money Information Centre Chatbot,Conversational AI
Machine Learning,By MRA using the Experience Commercial Delphi score it reduces MRA's exposure to financial loss by enabling MRA to know what organisations are at risk of not paying for its product and services.,06/08/2025,CustomerService@MiningRemediation.gov.uk,Mining Remediation Authority,gov.uk,Finance team,,GOV.UK Algorithmic Transparency Record for Mining Remediation Authority's use of Experian Commercial Delphi Score.,https://www.gov.uk/algorithmic-transparency-records/mining-remediation-authority-experian-commercial-delphi-score,live,Experian Commercial Delphi Score,Predictive Analytics
Natural Language Processing,"Faster contract review process, improved accuracy and consistency, reduced manual effort",,,Crown Commercial Service,gov.uk,,,AI-powered solution for automating contract review processes for the Crown Commercial Service.,https://www.contractsfinder.service.gov.uk/Notice/Attachment/515b4e22-4a52-4825-bcdc-397489801e1f,live,Automated Contract Review,Document Intelligence
Natural Language Processing,"Frees up live chat agents to deal with more complex queries, gets information to customers quickly and efficiently, potential for additional capacity to be created at contact centre to be filled with other customer contact channels",17/12/2024,communityrelationsinformation@networkrail.co.uk,Network Rail,gov.uk,National Contact & Communities team,,Information extracted from the Algorithmic Transparency Record for Network Rail's Digital Assistant chatbot,https://www.gov.uk/algorithmic-transparency-records/network-rail-digital-assistant,live,Digital Assistant,Conversational AI
"Natural Language Processing, Machine Learning","Users receive instant feedback about their reviews, have the opportunity to adjust reviews immediately to meet policy, resulting in a higher rate of published reviews. The third-party moderation contract could be terminated, drastically reducing cost. The service is far more scalable and provides more consistent moderation decisions.",23/07/2024,datascience@nhs.net,NHS England,gov.uk,NHS.UK,,"Tool automates moderation of NHS.UK reviews using NLP for efficiency, scalability, and user satisfaction.",https://nhsengland.github.io/datascience/our_work/ratings-and-reviews/,live,NHS.UK Reviews Automoderation Tool,Workflow Automation
"Computer Vision, Other","Provides comprehensive mapping of non-woodland trees in England, revealing they make up 30% of nation's tree cover. Allows for targeted tree planting, identification of nature depletion areas, and supports government targets to increase woodland canopy.",05/04/2025,,Department for Environment Food & Rural Affairs and Forest Research,gov.uk,Forest Research,,Map uses LIDAR and satellite imagery to create comprehensive picture of non-woodland trees across England.,https://www.gov.uk/government/news/englands-non-woodland-trees-freely-mapped-for-first-time,live,Trees Outside Woodland Map,Vision AI
"generativeAI, Large Language Model","Transforms lesson prep by creating bespoke resources and tailoring content to classes. Saves teachers time, with reports of saving 30 minutes to 4 hours per week. Produces comprehensive lesson plans with teaching slides, quizzes, and worksheets in minutes.",06/09/2024,,Oak National Academy,UK,Oak National Academy,,"Blog post introducing Aila, an AI-powered lesson assistant developed by Oak National Academy.",https://www.thenational.academy/blog/introducing-aila-for-ai-lesson-planning,pilot,Aila,Other
"Machine Learning, Natural Language Processing",Improves match rate and accuracy of automatic classification compared to existing rule-based tools. Reduces need for expensive manual coding. Achieves higher overall accuracy and match rates across multiple datasets.,18/11/2021,,Office for National Statistics,gov.uk,Data Science Campus,,"Project uses machine learning to improve automated SIC/SOC coding, enhancing accuracy and reducing manual coding needs.",https://datasciencecampus.ons.gov.uk/projects/automated-coding-of-standard-industrial-and-occupational-classifications-sic-soc/,pilot,Automated SIC/SOC Coding Tool,Workflow Automation
Computer Vision,"Optimise oncology pathways, automate early lung cancer detection, and support treatment response assessment",,,Aidence,gov.uk,,,"Winner of Round 1 AI in Health and Care Awards, focuses on oncology and lung cancer detection",https://www.england.nhs.uk/aac/what-we-do/how-can-the-aac-help-me/ai-award/round-1/,pilot,Veye,Health AI
Other,"The allocation algorithms enable quick processing of data to ensure that every precious organ donated, has the best possible chance of being transplanted successfully by an effective, fair, and transparent means. The algorithms combined with clinical guidance ensure a safe and effective way of offering organs for transplant to patients on the waiting list in a transparent and efficient way.",26/06/2025,enquiries@nhsbt.nhs.uk,Department for Health and Social Care,gov.uk,"Statistics and Clinical Research develop the rules for the algorithm. Digital, Data, and Technology Services implement the rules in to the IT systems. HUB Operations use the algorithm to offer organs to transplant centres on behalf of named patients.",,NHS Blood & Transplant: Organ Offering Scheme Algorithms for efficient and transparent organ allocation.,https://www.gov.uk/algorithmic-transparency-records/nhs-blood-and-transplant-organ-offering-scheme-algorithms,live,Organ Offering Scheme Algorithms,Decision Support
"Machine Learning, Computer Vision","Quickly generate high-definition maps, ensure maps remain current and up to date through automatic feature extraction and change detection. Avoid expensive and time-consuming field surveys. Build mapping at scale in a fraction of the time. Automatic change detection to keep mapping up to date and accurate. Access highly detailed mapping built to rigorous standards that can be customized.",,,Ordnance Survey,gov.uk,,,"OS Rapid Mapping uses AI and satellite imagery to create accurate, adaptable mapping for essential services.",https://www.ordnancesurvey.co.uk/services/rapid-mapping,live,OS Rapid Mapping,Vision AI
"Computer Vision, Machine Learning","Evaluates digital health technologies, particularly AI-assisted image analysis applications, to improve patient care, enhance NHS efficiency, and establish Oxford and the UK as a global leader in clinical AI research and implementation.",,OxCAIR@ouh.nhs.uk,Oxford University Hospitals NHS Foundation Trust,gov.uk,Oxford University Hospitals NHS Foundation Trust,,"OxCAIR research group secured £3M+ for AI evaluation projects, hosts NHS Clinical AI Fellowship in Thames Valley.",https://www.ouh.nhs.uk/research/projects/oxcair/,live,Oxford Clinical Artificial Intelligence Research (OxCAIR),Health AI
Computer Vision,"Helps pathologists detect, grade and measure tumours in prostate biopsies and tissue samples. Potential to increase efficiency and improve reproducibility of results for patients. Can help improve accuracy and consistency of grading cancer and assist in detection of small areas of cancer which are easy to miss.",22/07/2024,,Oxford University Hospitals NHS Foundation Trust,ouh.nhs.uk,ARTICULATE PRO study team,,AI diagnostic system for prostate cancer evaluation expanded to three NHS trusts as part of ARTICULATE PRO study.,https://www.ouh.nhs.uk/news/articles/2112/,pilot,Paige Prostate Suite,Vision AI
"Machine Learning, Other","PolicyEngine aims to address errors associated with household survey data used for tax-benefit microsimulation modelling. It addresses under-sampling of high incomes, under-reporting of benefits income at lower incomes, and measurement errors in income components like self-employment, capital income, and benefit income. It also incorporates imputed variables from multiple data sources to provide a richer combined dataset.",17/12/2024,DataManagement@hmtreasury.gov.uk,HM Treasury,gov.uk,"Personal Tax, Welfare and Pensions (PTWP)",,"Information extracted from the GOV.UK algorithmic transparency record for PolicyEngine UK, published by HM Treasury.",https://github.com/PolicyEngine/policyengine-uk,pilot,PolicyEngine UK,Decision Support
Other,The automated processing of applications supports the large volumes of applications and results in the rules for each application being applied in a consistent manner. Where exceptions occur the system updates the application state accordingly to indicate to student finance officers that manual intervention is required. The automation of the majority of applications allows operational staff have the capability to deal with each case and provide more care and attention to individual customers with specific needs.,27/02/2025,Gov_publishing@slc.co.uk,Student Loans Company Technology Group,gov.uk,Assess Platform,,"Automated assessment engine for postgraduate funding applications, determining eligibility based on provided information.",https://www.gov.uk/algorithmic-transparency-records/student-loans-company-postgraduate-assessment-rules,live,Postgraduate Assessment Rules,Decision Support
Not AI,"This tool allows BDUK to comply with subsidy control laws. The algorithm allows BDUK to comply without having to undertake a time consuming manual processes, this reduces costs and allows BDUK staff to focus on decisions that cannot be automated. This in turn speeds up the voucher delivery process, which speeds up connections for the beneficiary.",28/04/2025,gigabitvoucherteam@bduk.gov.uk,Building Digital UK arm's length body of DSIT,gov.uk,Voucher Product Team,,Information extracted from GOV.UK Algorithmic Transparency Record for BDUK Project Gigabit Voucher Eligibility Engine,https://www.gov.uk/algorithmic-transparency-records/bduk-project-gigabit-voucher-eligibility-engine,live,Project Gigabit Voucher Eligibility Engine,Decision Support
Machine Learning,"Predicts how at-risk individuals might be from coronavirus. Used by clinicians to support conversations with patients about personal risk. Combines factors like age, sex, ethnicity, BMI, and health conditions to estimate risk of catching COVID-19 and being hospitalized or dying.",01/06/2022,risk.strat@nhs.net,Department for Health and Social Care and NHS Digital,gov.uk,Department for Health and Social Care and NHS Digital,,"QCovid team piloted COVID-19 clinical tool to predict individual risk from COVID-19, used for Population Risk Assessment.",https://www.gov.uk/government/publications/department-for-health-and-social-care-and-nhs-digital-qcovid-algorithm,live,QCovid algorithm,Decision Support
"generativeAI, Natural Language Processing","Easier access to information for those seeking information about qualifications, currently the process is reliant on internal e-mail exchange. Access to a 24-hours qualifications enquiry service – currently the service is complicated and if telephone assistance is needed, it's limited access Monday to Friday. Increased efficiency for the enquiries team to deal with complex queries.",28/01/2025,Digitalteam@socialcare.wales,Social Care Wales,wales.gov,Digital Team,,Beta chatbot using OpenAI in Logicdialog to provide information about social care qualifications in Wales.,https://socialcare.wales/qualifications-funding/qualification-framework,pilot,Qualifications Chatbot,Conversational AI
"Computer Vision, Machine Learning","Improves early detection of lung cancer by analyzing chest X-rays in near real-time, potentially speeding up patient care journey from weeks to days. Automatically segregates 'normal' chest X-rays and flags abnormalities such as masses or lung nodules, enabling prioritization of patient case reporting for clinicians.",13/12/2023,,NHS Greater Glasgow and Clyde,nhsggc.scot,West of Scotland Innovation Hub,,RADICAL trial using AI-powered X-rays for lung cancer detection at multiple NHSGGC hospitals.,https://www.nhsggc.scot/nhsggc-trials-ai-powered-x-rays-in-fight-against-lung-cancer/,pilot,qXR,Health AI
"Machine Learning, Other",The project highlighted different rates of success in cases involving victims with different characteristics (predominantly age) which were not previously known to PPU who have investigated further. The project identified that there was the potential to improve successful outcomes for RASSO investigations by circa 30% without increasing the number of officers.,06/07/2022,,West Midlands Police,gov.uk,Data Analytics Lab,,"This algorithmic tool analyzes factors affecting RASSO investigations outcomes, informing resource allocation decisions.",https://www.gov.uk/algorithmic-transparency-records/west-midlands-police-exploratory-analysis-of-sexual-convictions,retired,Exploratory Analysis of Sexual Convictions,Predictive Analytics
Other,To ensure tax money is spent on those that have an entitlement to receive the benefit and this tool helps ensure this entitlement is only provided to eligible UK residents. This ensures that any costs incurred are as legitimate as possible.,10/02/2025,OHSOMT@NHSBSA.NHS.UK,NHS Business Services Authority,gov.uk,Overseas Healthcare Services (OHS),,GOV.UK Algorithmic Transparency Record for NHS BSA Residency Checker for UK EHIC/GHIC/PRC/S2.,https://www.gov.uk/algorithmic-transparency-records/nhs-bsa-residency-checker-for-ehic-slash-ghic-slash-prc,live,Residency Checker for UK EHIC/GHIC/PRC/S2,Decision Support
"Computer Vision, Machine Learning",Significantly reduce waiting times by efficiently triaging patients with suspicious skin lesions. Early evidence suggests automated use of DERM could approximately halve the number of referrals to dermatologists within the urgent skin cancer pathway compared to using teledermatology alone.,,,Skin Analytics,gov.uk,,,NICE (National Institute for Health and Care Excellence) article on conditional recommendation of DERM for NHS use.,https://www.nice.org.uk/news/articles/ai-skin-cancer-detection-system-gets-green-light-for-conditional-nhs-use,pilot,DERM (Deep Ensemble for Recognition of Malignancy),Health AI
"Large Language Model, Natural Language Processing","It is estimated that an initial manual search of candidate information using a key wordsearch can take up to 4 hours, where as the Succession Select tool provides a similar search functionality for an initial search in a minute or two.",17/12/2024,analysis@digital.cabinet-office.gov.uk,Department for Science Innovation and Technology,gov.uk,Talent Acquisition Team,,Information extracted from GOV.UK Algorithmic Transparency Record for DSIT: Succession Select,https://www.gov.uk/algorithmic-transparency-records/dsit-succession-select,pilot,Succession Select,Search and Retrieval
Natural Language Processing,Support personal use of assistive technology tools like screen readers and transcription tools,21/11/2023,ceu@gov.scot,Scottish Government,gov.scot,Scottish Government,,"AI-supported assistive technologies for employee productivity, including screen readers and transcription tools.",https://www.gov.scot/publications/foi-202300382289/,live,AI-supported assistive technologies,Workflow Automation
"Machine Learning, Other","33% overall increase in the number of attendances and 28.8% reduction in DNA (Did Not Attend) rate. Estimated £36,157/week of total added value across both Trusts. Helps identify patients at high risk of missing appointments and provide additional support.",06/08/2024,,George Eliot Hospital NHS Trust and South Warwickshire University Hospital NHS Foundation Trust,NHS,Deep Medical,,AI technology by Deep Medical helps NHS volunteers reduce waiting lists and missed appointments.,https://www.swft.nhs.uk/about-us/news/nhs-volunteers-are-being-supercharged-ai-help-reduce-waitlist-backlog,live,Deep Medical Schedules,Workflow Automation
"Natural Language Processing, Computer Vision","Save time spent on formative assessment by up to 50%, allowing teachers to focus on delivering lessons. Provide detailed, tailored feedback for individual students in a fraction of the time. Help with marking handwritten work, providing feedback on diagrams, and identifying common errors to shape future lessons.",13/01/2025,,UK Government,gov.uk,Department for Education,,Press release announcing £1 million funding for 16 ed tech companies to develop AI tools for teachers by April 2025.,https://www.gov.uk/government/news/ai-teacher-tools-set-to-break-down-barriers-to-opportunity,planned,AI teacher tools,Other
"Natural Language Processing, Machine Learning","The tool was introduced to improve the inclusiveness and effectiveness of adverts, enhancing the Department's ability to attract and retain a more diverse workforce. The tool also helps us to simplify language in job adverts, improve understanding of what we are looking for in our organisation and this is one part of the jigsaw of continuous improvement to our ability to attract and retain staff.",17/12/2024,People-CivHR-Recruitment@mod.gov.uk,Ministry of Defence,gov.uk,Defence People Civ HR- Workforce Planning and Resourcing,,Information extracted from the MOD: Textio Algorithmic Transparency Record on GOV.UK,https://www.gov.uk/algorithmic-transparency-records/mod-textio,pilot,Textio,Workflow Automation
Not AI,"Provides comprehensive data and insights on travel patterns, trends, and performance of London's transport system",,,Transport for London,gov.uk,Transport for London,,Annual publication summarizing trends and developments in London's transport system,https://content.tfl.gov.uk/travel-in-london-report-12.pdf,live,Travel in London Report 12,Not AI
"Machine Learning, Natural Language Processing","Improved efficiency in processing ~70,000 pieces of correspondence annually, saving time and reducing errors in data entry and routing",09/04/2018,lab@dft.gsi.gov.uk,Department for Transport,gov.uk,DfT Lab,,"AI prototype at DfT for handling correspondence, using ML to extract data from scanned documents and route appropriately.",https://dftdigital.blog.gov.uk/2018/04/09/the-write-stuff-how-we-used-ai-to-help-us-handle-correspondence/,pilot,DfT Lab Correspondence Handling AI,Workflow Automation
"Natural Language Processing, generativeAI","Time savings, improved efficiency, better quality of meeting minutes, reduced staff workload, enhanced service provision",10/09/2024,,Torfaen County Borough Council,Customer,Business Services Support Team,,Torfaen County Borough Council uses Copilot for Microsoft 365 to streamline administrative tasks and meeting minutes.,https://www.microsoft.com/en/customers/story/18653-torfaen-county-borough-council-microsoft-copilot,live,Microsoft Copilot for Microsoft 365,Workflow Automation
"Machine Learning, Other","Significantly reduced the number of patients who did not attend their appointment or cancelled at the last minute, reallocated 700 appointment slots to other patients, potential to reduce waiting lists by 10-15% if scaled across NHS",18/10/2024,,University Hospitals Coventry and Warwickshire NHS Trust,gov.uk,University Hospitals Coventry and Warwickshire (UHCW) NHS Trust,,"UHCW NHS Trust uses IBM Watsonx AI to reduce missed appointments, reallocate slots, and potentially cut waiting lists",https://www.uhcw.nhs.uk/news/trust-leads-the-way-in-artificial-intelligence-to-improve-the-patient-experience/,live,IBM Watsonx AI platform,Predictive Analytics
Not AI,Advancing AI use in public sector services,,,London Borough of Newham,newham.gov.uk,,,"UK Centre for AI in Public Sector initiative by Newham Council, details inaccessible due to 403 error",https://www.newham.gov.uk/newham-data/uk-centre-ai-public-sector,planned,UK Centre for AI in the Public Sector,Not AI
"Machine Learning, Computer Vision","Promotes development of machine learning and deep learning for marine applications, enables training of image segmentation algorithms for water/non-water classification",,catherine.seale@ukho.gov.uk,UK Hydrographic Office,gov.uk,UKHO Data Science team,,Dataset for water/non-water classification using Sentinel-2 imagery. Includes labeled data for image segmentation.,https://openmldata.ukho.gov.uk/,live,Sentinel-2 Water Edges Dataset (SWED),Vision AI
Computer Vision,Available through NHS Supply Chain Framework,04/12/2020,,Ultromics Limited,Commercial,,,Press release on Ultromics website announcing EchoGo availability through NHS Supply Chain Framework.,https://www.ultromics.com/press-releases/echogo-now-available-through-nhs-supply-chain-framework-1,live,EchoGo,Health AI
Other,To support the sharing of health records between healthcare providers to improve patient care and safety,,,Great Western Hospitals NHS Foundation Trust,gov.uk,Digital Services,,Information sharing system to improve patient care and safety by enabling health record sharing between providers,https://www.gwh.nhs.uk/media/1pyjk4vx/dpia-log-website-aug-2024.pdf,live,Epic Care Everywhere,Health AI
"Machine Learning, Other","Significant reductions in cost and timescales, as well as benefits to customers through greater consistency and quality of valuations. Initial estimates place the reduction in cost of a revaluation by one-third, compared to carrying out a manual valuation. Moreover, by providing an initial valuation the VOA can prioritise cases for manual valuation and can better target our professional valuer resource to where they will have the greatest impact, providing more rewarding roles for our staff.",06/08/2025,,Valuation Office Agency,gov.uk,Valuation Analytics,,"Automated Valuation Model for property valuation by Valuation Office Agency, reducing costs and improving consistency.",https://www.gov.uk/algorithmic-transparency-records/valuation-office-agency-automated-valuation-model,live,Automated Valuation Model,Predictive Analytics
"Computer Vision, Machine Learning","Brings 80% of resident dumped waste complaints online, reduces time to file a dumped waste report from 5 minutes to 88 seconds, achieves 86% report accuracy to ensure fast resolution of dumped waste problems, paves the way for further gen AI use cases across resident and tourist services",,,Westminster City Council,Google Cloud,Westminster City Council,,"Westminster City Council uses AI to manage dumped waste reports, improving efficiency and resident satisfaction.",https://cloud.google.com/customers/westminster,live,Report It,Workflow Automation
Natural Language Processing,"The provision of a chatbot on the Barnet website aims to provide greater choice for how residents communicate with the council, in line with Barnet's Resident Experience and Digital strategy. It will provide a more seamless resident experience across the council's services. Information and insight from the pilot will also be used to inform the ongoing provision of Barnet webchat.",28/01/2025,insightandintelligencehub@barnet.gov.uk,London Borough of Barnet,gov.uk,Resident Experience and Digital,,Information extracted from the Algorithmic Transparency Record for Barnet Council's Ami Chatbot implementation.,https://www.gov.uk/algorithmic-transparency-records/barnet-council-ami-chatbot,pilot,Ami Chatbot,Conversational AI
"Natural Language Processing, Machine Learning","Revolutionizes contact centre systems for domestic abuse calls, enhances transcription, data mapping, and risk analysis, enables seamless victim experience, records important information and carries out key background searches",29/11/2023,innovation@pds.police.uk,Police Digital Service,gov.uk,Humberside Police,,"AI system enhances emergency response for domestic abuse calls, improving transcription, analysis, and victim experience.",https://pds.police.uk/press-release-artificial-intelligence-introduced-to-enhance-emergency-response/,pilot,AI-Enhanced Emergency Response System,Decision Support
Computer Vision,"This tool can be used to fill in the gaps where Woodland was depicted on OS Historic Landmark maps but no longer exists in modern maps. This will enable researchers and conservationists to measure the change in Woodland coverage over time in different areas to target measures to prevent woodland loss in the future, as well as supporting re-planatation schemes and maximise the chance of new areas of trees becoming ""long established"" woodland. To manually create this dataset would be time consuming and susceptible to human error and inconsistency. This tool is a faster, more robust method to map Ancient Woodland and can be used as a proof of concept to use deep learning for other land classification types using Historic Landmark data.",04/07/2025,customerhelp@gov.wales,Welsh Government,wales.gov,Data Science Unit,,"AI tool for mapping ancient woodland using image segmentation, developed by Welsh Government for conservation and research.",https://digitalanddata.blog.gov.wales/2024/09/09/can-ai-help-find-lost-woodland/,pilot,Mapping Ancient Woodland Image Segmentation Model,Vision AI
"Machine Learning, Computer Vision",Enables research-active clinicians and innovative SMEs to collaborate on key clinical questions and ultimately solve health and social care challenges more quickly and efficiently. Builds AI capability in areas including radiology imaging and digital pathology.,,,iCAIRD,scotland.gov,,,iCAIRD is a pan-Scotland collaboration focusing on the application of AI to digital diagnostics in healthcare.,icaird.com,live,Industrial Centre for Artificial Intelligence Research in Digital Diagnostics (iCAIRD),Health AI
"Computer Vision, Machine Learning",Designed to analyse standard mammograms for breast cancer screening,07/04/2021,,Kheiron Medical,digital.nhs.uk,Kheiron Medical,,First product developed by a UK company to receive the CE mark for deep learning software in radiology,https://digital.nhs.uk/services/ai-knowledge-repository/case-studies,live,Mia mammography intelligent assessment,Health AI
Other,"Enables responsible adoption of AI in the NHS by providing resources for healthcare professionals. Supports ethical, efficient deployment of AI innovations to deliver enhanced health outcomes and system efficiencies. Aims to improve patient care, optimize resources, and empower NHS staff through responsible, ethical and sustainable AI integration.",21/07/2025,,NHS Digital NHS England,digital.nhs.uk,NHS England AI Team,,NHS repository providing resources for healthcare professionals to responsibly adopt AI technologies in healthcare settings.,https://digital.nhs.uk/services/ai-knowledge-repository,live,AI Knowledge Repository,Search and Retrieval
"Machine Learning, Other",Enabled cross-system analysis and decision-making through integrated health and care data dashboards,08/10/2020,,City of Wolverhampton Council PredictX Midlands and Lancashire Commissioning Support Unit Wolverhampton Clinical Commissioning Group,digital.nhs.uk,City of Wolverhampton Council,,"Initiated in 2016, combining health and social care data for system-wide dashboards",https://digital.nhs.uk/services/ai-knowledge-repository/case-studies/ai-in-adult-social-care,live,Joined-up demand analysis for health and care,Predictive Analytics
"Machine Learning, Other",Enables health and care research with synthetic data while maintaining governance standards,25/11/2024,,NHS,digitalregulations.innovation.nhs.uk,Gemma Warren,,"Explores governance considerations for synthetic data in health research, focused on lung cancer risk prediction",https://www.digitalregulations.innovation.nhs.uk/case-studies/,live,Synthetic data in health and care research,Health AI
Other,Unable to determine due to Cloudflare security barrier preventing access to the actual content,,,Local Government Association,local.gov.uk,,,Content inaccessible due to Cloudflare security verification screen blocking automated access,https://www.local.gov.uk/our-support/cyber-digital-and-technology/artificial-intelligence-hub/artificial-intelligence-case,live,Artificial Intelligence Case,Other
Large Language Model,"Save educators time, enabling them to focus on face-to-face teaching and support pupils and students to achieve and thrive in education",17/08/2025,,Department for Education,gov.uk,Department for Education,,Part of the Prime Minister's AI Exemplars Programme,https://www.gov.uk/guidance/ai-exemplars-programme,pilot,Education Content Store,Conversational AI
"supervised, Machine Learning","- Detected 66% of long stayers within highest risk categories
- Economic benefits: a single-day reduction in average stay yields £1.7m in savings for Gloucester Hospitals alone
- Potential health benefits by avoiding negative outcomes associated with extended stays (11% mortality rate for long stayers vs 5% for all admissions; 23% chance of becoming unwell again after discharge vs 1% for others; in over 80s, loss of 10 years' muscle mass in just 10 days)
- Enables interventions like increased walking or daily physiotherapy that are known to reduce overall stay",04/09/2023,,Gloucestershire Hospitals NHS Foundation Trust,gov.uk,Accelerated Capability Environment (ACE) and NHS AI Lab,,Tool produces immediate long stayer risk score to help avoid known risk factors in hospital patients.,https://www.gov.uk/government/case-studies/using-ai-to-help-identify-long-stay-patients-and-improve-outcomes,pilot,Long stay stratification tool,Predictive Analytics
"Natural Language Processing, Machine Learning","Reducing the time taken to analyze and report on public consultation feedback, potentially saving significant staff time and resources while improving the quality of insights from consultation data",01/06/2022,,Lambeth Council,localdigital.gov.uk,Lambeth Council Digital Team,,"Lambeth Council exploring AI to reduce time needed to analyze consultation feedback, improving local government efficiency",https://www.localdigital.gov.uk/case-studies/exploring-how-artificial-intelligence-ai-can-reduce-the-time-taken-to-report-on-consultation-feedback/,pilot,Consultation Feedback AI Analysis,Document Intelligence
"Machine Learning, Other",Greater compliance - ability to review 100% of cases instead of just a sample set; Improved accuracy - automated checks using AI models achieve close to 100% accuracy; Faster process - elimination of the backlog of checks and moving checks closer to real-time; More time for team members to focus on making improvements; Overall reduction of compliance process duration by 80%.,18/10/2019,,UK based global bank,gov.uk,"Government Digital Service, Office for Artificial Intelligence and Department for Science, Innovation and Technology",,"AI system automating compliance checks for financial product sales, achieving 100% case review with higher accuracy.",https://www.gov.uk/government/case-studies/how-a-uk-based-bank-used-ai-to-increase-operational-efficiency,live,Sales Quality Compliance Automation,Document Intelligence
Other,"Provides 10 principles for upholding AI use in government; explains AI capabilities, limitations, risks; guides on selecting, buying and deploying AI in government",10/02/2025,,Government Digital Service,gov.uk,Government Digital Service,,"Guidance document for civil servants on using AI safely, effectively and securely in government",https://www.gov.uk/government/collections/artificial-intelligence-resources-for-the-public-sector,live,AI Playbook for the UK Government,Decision Support
"Natural Language Processing, Large Language Model, generativeAI",Automating administrative tasks in adult social care to free up staff time and improve service delivery,,,Kingston Council,local.gov.uk,,,Kingston Council implementing AI to reduce administrative burden in adult social care services,https://www.local.gov.uk/case-studies/kingston-council-using-ai-adult-social-care-administration,live,Kingston Council AI for Adult Social Care,Workflow Automation
generativeAI,Development of generative AI tools to improve council operations and service delivery,,,West Berkshire Council,local.gov.uk,,,West Berkshire Council developing generative AI tools to enhance council operations and public services,https://www.local.gov.uk/case-studies/west-berkshire-council-development-generative-ai-tools,live,West Berkshire Council Generative AI Tools,Workflow Automation
"Large Language Model, Natural Language Processing, generativeAI","Provides a personalised AI assistant for citizens to access council services and information, improving accessibility and efficiency of service delivery.",17/11/2023,,Peterborough City Council,local.gov.uk,Digital Services,,AI assistant helping citizens access council information and services through natural language interactions,https://www.local.gov.uk/case-studies/peterborough-city-council-hey-geraldine-personalised-ai-assistant,live,Hey Geraldine,Conversational AI
"Natural Language Processing, Large Language Model",Improve resident satisfaction in South Cambridgeshire's contact center through implementation of a chatbot system,,,South Cambridgeshire,local.gov.uk,,,Chatbot implementation in South Cambridgeshire's contact center to improve resident satisfaction and service delivery,https://www.local.gov.uk/case-studies/south-cambridgeshire-contact-centre-chatbot-improve-resident-satisfaction,live,Contact Centre Chatbot,Conversational AI
Not AI,"Building skills, confidence and engagement with residents through AI education",,,Manchester City Council,local.gov.uk,,,AI education initiative for residents to build skills and confidence in engaging with artificial intelligence technologies,https://www.local.gov.uk/case-studies/manchester-city-council-peoples-panel-ai-building-skills-confidence-and-residents,live,People's Panel AI,Not AI
